SSN,ExplanationInfluencer,ExplanationInfluencerValue,ExplanationRank,PredictedCategory,OutlierIndicator,ExplanationStrength,PredictionProbability
9,workclass,Private,10,,,0.03,
10,,,0,0,0,,0.14
10,age,35,6,,,-0.28,
10,capital_gain,0,5,,,-0.32,
10,capital_loss,0,7,,,-0.11,
10,education_num,9,3,,,-0.74,
10,hours_per_week,40,8,,,-0.11,
10,marital_status,Married-civ-spouse,4,,,0.6,
10,occupation,Machine-op-inspct,1,,,-0.95,
10,relationship,Husband,2,,,0.79,
10,sex,Male,9,,,0.09,
10,workclass,Private,10,,,0.06,
11,,,0,1,0,,0.51
11,age,51,1,,,0.9,
11,capital_gain,0,6,,,-0.3,
11,capital_loss,0,8,,,-0.11,
11,education_num,9,3,,,-0.67,
11,hours_per_week,40,10,,,0.06,
11,marital_status,Married-civ-spouse,4,,,0.58,
11,occupation,Prof-specialty,5,,,0.58,
11,relationship,Husband,2,,,0.77,
11,sex,Male,7,,,0.16,
11,workclass,Private,9,,,0.08,
12,,,0,0,0,,0.38
12,age,59,1,,,0.89,
12,capital_gain,0,5,,,-0.3,
12,capital_loss,0,8,,,-0.11,
12,education_num,9,3,,,-0.64,
12,hours_per_week,40,10,,,-0.03,
12,marital_status,Married-civ-spouse,4,,,0.59,
12,occupation,Craft-repair,6,,,-0.21,
12,relationship,Husband,2,,,0.77,
12,sex,Male,7,,,0.14,
12,workclass,Private,9,,,0.07,
13,,,0,0,0,,0.08
13,age,27,1,,,-1.59,
13,capital_gain,0,6,,,-0.3,
13,capital_loss,0,7,,,-0.12,
13,education_num,9,5,,,-0.62,
13,hours_per_week,40,9,,,-0.08,
13,marital_status,Married-civ-spouse,3,,,0.75,
13,occupation,Machine-op-inspct,2,,,-1,
13,relationship,Husband,4,,,0.71,
13,sex,Male,8,,,0.1,
13,workclass,Private,10,,,0.01,
14,,,0,0,0,,0.34
14,age,60,3,,,0.62,
14,capital_gain,0,5,,,-0.3,
14,capital_loss,0,8,,,-0.11,
14,education_num,9,2,,,-0.67,
14,hours_per_week,40,10,,,-0.04,
14,marital_status,Married-civ-spouse,4,,,0.57,
14,occupation,Craft-repair,6,,,-0.2,
14,relationship,Husband,1,,,0.78,
14,sex,Male,7,,,0.14,
14,workclass,Private,9,,,0.07,
15,,,0,0,0,,0.12
15,age,33,5,,,-0.58,
15,capital_gain,0,6,,,-0.32,
15,capital_loss,0,8,,,-0.12,
15,education_num,9,3,,,-0.73,
15,hours_per_week,40,7,,,-0.15,
15,marital_status,Married-civ-spouse,4,,,0.64,
15,occupation,Machine-op-inspct,1,,,-0.93,
15,relationship,Husband,2,,,0.79,
15,sex,Male,9,,,0.1,
15,workclass,Private,10,,,0.06,
16,,,0,0,0,,0.23
16,age,61,5,,,0.53,
16,capital_gain,0,6,,,-0.3,
16,capital_loss,0,8,,,-0.11,
16,education_num,9,3,,,-0.71,
16,hours_per_week,40,10,,,-0.03,
16,marital_status,Married-civ-spouse,4,,,0.56,
16,occupation,Machine-op-inspct,1,,,-1,
16,relationship,Husband,2,,,0.84,
16,sex,Male,7,,,0.14,
16,workclass,Private,9,,,0.06,
17,,,0,0,0,,0.25
17,age,55,3,,,0.7,
17,capital_gain,0,6,,,-0.31,
17,capital_loss,0,8,,,-0.12,
17,education_num,9,4,,,-0.7,
17,hours_per_week,40,10,,,-0.01,
17,marital_status,Married-civ-spouse,5,,,0.58,
17,occupation,Machine-op-inspct,1,,,-1,
17,relationship,Husband,2,,,0.82,
17,sex,Male,7,,,0.14,
17,workclass,Private,9,,,0.08,
18,,,0,0,0,,0.12
18,age,33,5,,,-0.58,
18,capital_gain,0,6,,,-0.32,
18,capital_loss,0,8,,,-0.12,
18,education_num,9,3,,,-0.73,
18,hours_per_week,40,7,,,-0.15,
18,marital_status,Married-civ-spouse,4,,,0.64,
18,occupation,Machine-op-inspct,1,,,-0.93,
18,relationship,Husband,2,,,0.79,
18,sex,Male,9,,,0.1,
18,workclass,Private,10,,,0.06,
19,,,0,0,0,,0.22
19,age,28,1,,,-1.11,
19,capital_gain,0,6,,,-0.3,
19,capital_loss,0,8,,,-0.12,
19,education_num,9,4,,,-0.58,
19,hours_per_week,40,9,,,-0.07,
19,marital_status,Married-civ-spouse,2,,,0.73,
19,occupation,Tech-support,5,,,0.53,
19,relationship,Husband,3,,,0.72,
19,sex,Male,7,,,0.13,
19,workclass,Private,10,,,-0.01,
20,,,0,0,0,,0.13
20,age,32,5,,,-0.46,
20,capital_gain,0,6,,,-0.32,
20,capital_loss,0,8,,,-0.12,
20,education_num,9,3,,,-0.73,
20,hours_per_week,40,7,,,-0.14,
20,marital_status,Married-civ-spouse,4,,,0.66,
20,occupation,Machine-op-inspct,1,,,-0.94,
20,relationship,Husband,2,,,0.79,
20,sex,Male,9,,,0.1,
20,workclass,Private,10,,,0.05,
21,,,0,0,0,,0.22
21,age,37,5,,,0.43,
21,capital_gain,0,6,,,-0.31,
21,capital_loss,0,7,,,-0.12,
21,education_num,9,3,,,-0.69,
21,hours_per_week,40,10,,,-0.07,
21,marital_status,Married-civ-spouse,4,,,0.6,
21,occupation,Machine-op-inspct,1,,,-0.9,
21,relationship,Husband,2,,,0.79,
21,sex,Male,8,,,0.11,
21,workclass,Private,9,,,0.08,
22,,,0,0,0,,0.01
22,age,20,1,,,-5.48,
22,capital_gain,0,6,,,-0.32,
22,capital_loss,0,9,,,-0.13,
22,education_num,9,5,,,-0.59,
22,hours_per_week,40,7,,,-0.16,
22,marital_status,Married-civ-spouse,3,,,0.71,
22,occupation,Machine-op-inspct,2,,,-0.78,
22,relationship,Husband,4,,,0.62,
22,sex,Male,8,,,0.14,
22,workclass,Private,10,,,0.03,
23,,,0,0,0,,0.13
23,age,28,1,,,-1.06,
23,capital_gain,0,6,,,-0.3,
23,capital_loss,0,8,,,-0.12,
23,education_num,9,4,,,-0.56,
23,hours_per_week,40,7,,,-0.19,
23,marital_status,Married-civ-spouse,2,,,0.73,
23,occupation,Transport-moving,5,,,-0.44,
23,relationship,Husband,3,,,0.71,
23,sex,Male,9,,,0.11,
23,workclass,Private,10,,,-0.01,
24,,,0,0,0,,0.27
24,age,37,6,,,0.26,
24,capital_gain,0,5,,,-0.31,
24,capital_loss,0,8,,,-0.11,
24,education_num,9,2,,,-0.63,
24,hours_per_week,40,9,,,-0.09,
24,marital_status,Married-civ-spouse,3,,,0.61,
24,occupation,Craft-repair,4,,,-0.33,
24,relationship,Husband,1,,,0.75,
24,sex,Male,7,,,0.12,
24,workclass,Private,10,,,0.08,
25,,,0,0,0,,0.23
25,age,61,5,,,0.53,
25,capital_gain,0,6,,,-0.3,
25,capital_loss,0,8,,,-0.11,
25,education_num,9,3,,,-0.71,
25,hours_per_week,40,10,,,-0.03,
25,marital_status,Married-civ-spouse,4,,,0.56,
25,occupation,Machine-op-inspct,1,,,-1,
25,relationship,Husband,2,,,0.84,
25,sex,Male,7,,,0.14,
25,workclass,Private,9,,,0.06,
26,,,0,0,0,,0.38
26,age,49,1,,,0.93,
26,capital_gain,0,5,,,-0.3,
26,capital_loss,0,8,,,-0.11,
26,education_num,9,3,,,-0.64,
26,hours_per_week,40,10,,,-0.05,
26,marital_status,Married-civ-spouse,4,,,0.6,
26,occupation,Craft-repair,6,,,-0.21,
26,relationship,Husband,2,,,0.75,
26,sex,Male,7,,,0.15,
26,workclass,Private,9,,,0.07,
27,,,0,0,0,,0.27
27,age,32,4,,,-0.44,
27,capital_gain,0,6,,,-0.3,
27,capital_loss,0,8,,,-0.12,
27,education_num,9,2,,,-0.72,
27,hours_per_week,40,9,,,-0.06,
27,marital_status,Married-civ-spouse,3,,,0.65,
27,occupation,Protective-serv,5,,,0.39,
27,relationship,Husband,1,,,0.78,
27,sex,Male,7,,,0.12,
27,workclass,Private,10,,,0.01,
28,,,0,0,0,,0.21
28,age,47,2,,,0.91,
28,capital_gain,0,6,,,-0.31,
28,capital_loss,0,8,,,-0.12,
28,education_num,9,4,,,-0.69,
28,hours_per_week,40,9,,,-0.08,
28,marital_status,Married-civ-spouse,5,,,0.58,
28,occupation,Other-service,1,,,-1.47,
28,relationship,Husband,3,,,0.78,
28,sex,Male,7,,,0.14,
28,workclass,Private,10,,,0.07,
29,,,0,0,0,,0.19
29,age,32,4,,,-0.51,
29,capital_gain,0,5,,,-0.31,
29,capital_loss,0,8,,,-0.12,
29,education_num,9,3,,,-0.67,
29,hours_per_week,40,7,,,-0.16,
29,marital_status,Married-civ-spouse,2,,,0.7,
29,occupation,Adm-clerical,6,,,-0.26,
29,relationship,Husband,1,,,0.75,
29,sex,Male,9,,,0.11,
29,workclass,Private,10,,,0.04,
30,,,0,0,0,,0.34
30,age,44,4,,,0.59,
30,capital_gain,0,5,,,-0.3,
30,capital_loss,0,8,,,-0.11,
30,education_num,9,2,,,-0.64,
30,hours_per_week,40,10,,,-0.05,
30,marital_status,Married-civ-spouse,3,,,0.61,
30,occupation,Craft-repair,6,,,-0.22,
30,relationship,Husband,1,,,0.75,
30,sex,Male,7,,,0.14,
30,workclass,Private,9,,,0.08,
31,,,0,0,0,,0.38
31,age,48,1,,,0.93,
31,capital_gain,0,5,,,-0.3,
31,capital_loss,0,8,,,-0.11,
31,education_num,9,3,,,-0.64,
31,hours_per_week,40,10,,,-0.04,
31,marital_status,Married-civ-spouse,4,,,0.6,
31,occupation,Craft-repair,6,,,-0.21,
31,relationship,Husband,2,,,0.75,
31,sex,Male,7,,,0.15,
31,workclass,Private,9,,,0.07,
32,,,0,0,0,,0.18
32,age,30,4,,,-0.59,
32,capital_gain,0,5,,,-0.31,
32,capital_loss,0,7,,,-0.12,
32,education_num,9,3,,,-0.67,
32,hours_per_week,40,8,,,-0.11,
32,marital_status,Married-civ-spouse,2,,,0.68,
32,occupation,Craft-repair,6,,,-0.26,
32,relationship,Husband,1,,,0.75,
32,sex,Male,9,,,0.11,
32,workclass,Private,10,,,0.04,
33,,,0,0,0,,0.38
33,age,42,4,,,0.42,
33,capital_gain,0,5,,,-0.3,
33,capital_loss,0,8,,,-0.11,
33,education_num,9,2,,,-0.69,
33,hours_per_week,40,10,,,-0.03,
33,marital_status,Married-civ-spouse,3,,,0.59,
33,occupation,Sales,6,,,0.29,
33,relationship,Husband,1,,,0.79,
33,sex,Male,7,,,0.14,
33,workclass,Private,9,,,0.09,
34,,,0,0,0,,0.38
34,age,50,1,,,0.93,
34,capital_gain,0,5,,,-0.3,
34,capital_loss,0,8,,,-0.11,
34,education_num,9,3,,,-0.64,
34,hours_per_week,40,10,,,-0.05,
34,marital_status,Married-civ-spouse,4,,,0.6,
34,occupation,Craft-repair,6,,,-0.21,
34,relationship,Husband,2,,,0.75,
34,sex,Male,7,,,0.15,
34,workclass,Private,9,,,0.07,
35,,,0,0,0,,0.15
35,age,36,10,,,-0.04,
35,capital_gain,0,5,,,-0.32,
35,capital_loss,0,6,,,-0.12,
35,education_num,9,3,,,-0.69,
35,hours_per_week,40,8,,,-0.09,
35,marital_status,Married-civ-spouse,4,,,0.61,
35,occupation,Handlers-cleaners,1,,,-1.21,
35,relationship,Husband,2,,,0.79,
35,sex,Male,7,,,0.11,
35,workclass,Private,9,,,0.06,
36,,,0,0,0,,0.38
36,age,52,1,,,0.93,
36,capital_gain,0,5,,,-0.3,
36,capital_loss,0,8,,,-0.11,
36,education_num,9,3,,,-0.65,
36,hours_per_week,40,10,,,-0.05,
36,marital_status,Married-civ-spouse,4,,,0.62,
36,occupation,Adm-clerical,6,,,-0.25,
36,relationship,Husband,2,,,0.76,
36,sex,Male,7,,,0.15,
36,workclass,Private,9,,,0.06,
37,,,0,0,0,,0.16
37,age,32,4,,,-0.48,
37,capital_gain,0,6,,,-0.3,
37,capital_loss,0,8,,,-0.12,
37,education_num,9,2,,,-0.68,
37,hours_per_week,40,7,,,-0.28,
37,marital_status,Married-civ-spouse,3,,,0.66,
37,occupation,Transport-moving,5,,,-0.45,
37,relationship,Husband,1,,,0.78,
37,sex,Male,9,,,0.11,
37,workclass,Private,10,,,0.05,
38,,,0,1,0,,0.46
38,age,37,5,,,0.42,
38,capital_gain,0,6,,,-0.3,
38,capital_loss,0,8,,,-0.11,
38,education_num,9,3,,,-0.69,
38,hours_per_week,40,10,,,-0.11,
38,marital_status,Married-civ-spouse,4,,,0.61,
38,occupation,Exec-managerial,1,,,0.87,
38,relationship,Husband,2,,,0.76,
38,sex,Male,9,,,0.11,
38,workclass,Private,7,,,0.14,
39,,,0,0,0,,0.02
39,age,21,1,,,-4.13,
39,capital_gain,0,6,,,-0.31,
39,capital_loss,0,9,,,-0.13,
39,education_num,9,5,,,-0.58,
39,hours_per_week,40,7,,,-0.15,
39,marital_status,Married-civ-spouse,3,,,0.71,
39,occupation,Handlers-cleaners,2,,,-0.96,
39,relationship,Husband,4,,,0.62,
39,sex,Male,8,,,0.14,
39,workclass,Private,10,,,0.03,
40,,,0,0,0,,0.14
40,age,25,1,,,-1.77,
40,capital_gain,0,6,,,-0.28,
40,capital_loss,0,8,,,-0.12,
40,education_num,9,4,,,-0.6,
40,hours_per_week,40,9,,,-0.1,
40,marital_status,Married-civ-spouse,2,,,0.72,
40,occupation,Sales,5,,,0.32,
40,relationship,Husband,3,,,0.7,
40,sex,Male,7,,,0.13,
40,workclass,Private,10,,,0.02,
41,,,0,0,0,,0.02
41,age,21,1,,,-4.14,
41,capital_gain,0,6,,,-0.31,
41,capital_loss,0,9,,,-0.13,
41,education_num,9,5,,,-0.58,
41,hours_per_week,40,7,,,-0.14,
41,marital_status,Married-civ-spouse,3,,,0.71,
41,occupation,Machine-op-inspct,2,,,-0.76,
41,relationship,Husband,4,,,0.62,
41,sex,Male,8,,,0.14,
41,workclass,Private,10,,,0.03,
42,,,0,0,0,,0.27
42,age,68,6,,,-0.21,
42,capital_gain,0,4,,,-0.26,
42,capital_loss,0,8,,,-0.13,
42,education_num,9,2,,,-0.7,
42,hours_per_week,40,9,,,-0.01,
42,marital_status,Married-civ-spouse,3,,,0.48,
42,occupation,Sales,5,,,0.21,
42,relationship,Husband,1,,,0.8,
42,sex,Male,7,,,0.14,
42,workclass,Private,10,,,0,
43,,,0,0,0,,0.17
43,age,34,6,,,-0.29,
43,capital_gain,0,5,,,-0.3,
43,capital_loss,0,8,,,-0.11,
43,education_num,9,2,,,-0.7,
43,hours_per_week,40,7,,,-0.19,
43,marital_status,Married-civ-spouse,4,,,0.6,
43,occupation,Transport-moving,3,,,-0.65,
43,relationship,Husband,1,,,0.78,
43,sex,Male,9,,,0.1,
43,workclass,Private,10,,,0.06,
44,,,0,0,0,,0.26
44,age,58,3,,,0.79,
44,capital_gain,0,6,,,-0.31,
44,capital_loss,0,8,,,-0.12,
44,education_num,9,4,,,-0.69,
44,hours_per_week,40,10,,,-0.02,
44,marital_status,Married-civ-spouse,5,,,0.58,
44,occupation,Machine-op-inspct,1,,,-1.01,
44,relationship,Husband,2,,,0.82,
44,sex,Male,7,,,0.13,
44,workclass,Private,9,,,0.07,
45,,,0,1,0,,0.44
45,age,47,1,,,0.85,
45,capital_gain,0,5,,,-0.3,
45,capital_loss,0,8,,,-0.11,
45,education_num,9,3,,,-0.69,
45,hours_per_week,40,10,,,-0.02,
45,marital_status,Married-civ-spouse,4,,,0.58,
45,occupation,Sales,6,,,0.21,
45,relationship,Husband,2,,,0.79,
45,sex,Male,7,,,0.17,
45,workclass,Private,9,,,0.07,
46,,,0,0,0,,0.22
46,age,41,5,,,0.39,
46,capital_gain,0,6,,,-0.31,
46,capital_loss,0,7,,,-0.12,
46,education_num,9,3,,,-0.69,
